match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8807800853,7402365705,False,1778567573,541,0,23,22,1,172,"[39, 86, 35, 84, 62]","[36, 32, 51, 27, 53]"
8807800210,7402363652,False,1778567498,420,0,23,63,5,225,"[108, 8, 95, 62, 2]","[1, 20, 70, 67, 113]"
8807799832,7402363905,False,1778567463,419,0,23,55,3,181,"[74, 108, 56, 85, 57]","[32, 35, 84, 26, 46]"
8807798987,7402366403,True,1778567358,868,0,23,55,4,251,"[96, 91, 26, 35, 20]","[11, 102, 29, 8, 74]"
8807798783,7402366367,False,1778567348,923,0,23,31,1,183,"[5, 89, 1, 11, 136]","[27, 114, 119, 135, 106]"
8807798720,7402366378,True,1778567338,913,0,23,42,2,181,"[35, 86, 111, 12, 68]","[50, 93, 14, 101, 80]"
8807798543,7402366108,False,1778567323,675,7,22,53,4,152,"[137, 5, 17, 119, 39]","[19, 74, 2, 21, 44]"
8807798436,7402366538,False,1778567313,965,0,23,54,3,185,"[63, 69, 91, 100, 18]","[64, 82, 108, 44, 89]"
8807798420,7402365501,False,1778567313,821,0,23,34,1,271,"[5, 30, 53, 74, 2]","[35, 46, 75, 91, 36]"
8807798348,7402359627,False,1778567308,0,14,13,31,1,183,"[47, 6, 64, 20, 49]","[35, 35, 44, 2, 22]"
8807798143,7402365206,True,1778567278,829,0,23,35,4,154,"[32, 101, 81, 3, 145]","[27, 47, 45, 63, 26]"
8807797996,7402363831,True,1778567263,656,0,23,44,3,251,"[12, 2, 22, 13, 119]","[7, 65, 114, 14, 56]"
8807797850,7402366467,False,1778567238,1024,0,23,12,1,183,"[70, 108, 100, 30, 62]","[14, 4, 92, 21, 74]"
8807797799,7402366432,True,1778567243,1022,0,23,42,5,152,"[62, 85, 21, 119, 35]","[32, 30, 72, 19, 109]"
8807797611,7402364248,True,1778567223,750,0,23,32,3,151,"[99, 22, 42, 86, 21]","[27, 97, 18, 26, 33]"
8807797593,7402366283,True,1778567208,917,7,22,22,3,413,"[36, 108, 22, 75, 1]","[42, 87, 7, 43, 6]"
8807797392,7402365556,True,1778567203,962,0,23,23,1,123,"[85, 42, 5, 35, 120]","[1, 74, 119, 54, 84]"
8807797219,7402366478,False,1778567183,1099,0,23,51,4,271,"[5, 119, 74, 65, 44]","[62, 84, 30, 35, 22]"
8807796770,7402366604,True,1778567138,1148,0,23,62,7,227,"[19, 32, 95, 22, 29]","[53, 74, 120, 94, 41]"
8807796618,7402362796,False,1778567118,587,0,22,53,1,122,"[145, 136, 12, 105, 2]","[96, 30, 39, 92, 1]"
8807796589,7402366603,True,1778567118,1173,0,23,61,5,185,"[91, 35, 102, 44, 30]","[123, 41, 39, 14, 64]"
8807796556,7402365900,True,1778567113,1092,0,23,14,1,184,"[47, 93, 109, 22, 69]","[91, 71, 50, 49, 44]"
8807796510,7402366207,True,1778567108,1128,0,23,43,2,151,"[47, 59, 27, 7, 21]","[56, 112, 8, 45, 99]"
8807796388,7402366564,False,1778567093,1184,0,23,45,2,191,"[8, 49, 47, 84, 87]","[86, 22, 70, 114, 54]"
8807796315,7402366610,False,1778567088,1227,0,23,25,5,185,"[33, 10, 18, 99, 111]","[84, 35, 97, 86, 76]"
8807796189,7402365259,True,1778567053,1007,7,22,23,2,172,"[17, 104, 119, 85, 10]","[69, 30, 28, 58, 62]"
8807796084,7402366602,True,1778567063,1222,0,23,45,3,183,"[44, 12, 75, 14, 31]","[54, 106, 91, 35, 84]"
8807796080,7402365383,True,1778567058,1061,0,23,31,1,153,"[131, 105, 8, 42, 7]","[28, 48, 39, 155, 41]"
8807796033,7402365430,True,1778567053,1077,0,23,45,5,227,"[43, 86, 123, 99, 67]","[42, 16, 5, 25, 72]"
8807796016,7402365223,False,1778567053,1059,0,23,21,2,184,"[93, 138, 14, 41, 49]","[104, 85, 71, 27, 6]"
8807795838,7402364533,False,1778567013,988,0,23,15,1,183,"[86, 20, 35, 123, 49]","[119, 6, 62, 21, 44]"
8807795791,7402366187,True,1778567033,1203,0,23,41,4,381,"[74, 57, 18, 36, 62]","[39, 84, 71, 93, 11]"
8807795755,7402366011,True,1778567028,1178,0,23,15,2,185,"[123, 129, 84, 27, 1]","[91, 103, 26, 30, 94]"
8807795704,7402364595,False,1778567013,1008,0,23,54,2,182,"[85, 6, 71, 30, 20]","[59, 109, 91, 74, 81]"
8807795675,7402365568,False,1778567018,1136,0,23,61,3,381,"[113, 7, 42, 101, 74]","[86, 84, 35, 44, 108]"
8807795664,7402366589,True,1778567018,1261,0,23,41,5,413,"[86, 84, 44, 48, 64]","[26, 75, 32, 36, 14]"
8807795572,7402365051,False,1778567003,1089,0,23,45,1,172,"[56, 5, 15, 22, 69]","[1, 83, 20, 74, 27]"
8807795542,7402366537,True,1778567003,1286,0,23,41,1,121,"[37, 58, 31, 34, 71]","[25, 27, 129, 49, 11]"
8807795491,7402366061,False,1778566993,1225,0,23,65,6,181,"[129, 120, 92, 27, 135]","[113, 19, 42, 110, 56]"
8807795456,7402360682,False,1778566988,496,0,23,24,1,381,"[2, 95, 35, 5, 54]","[8, 74, 81, 22, 114]"
8807795409,7402366510,False,1778566988,1212,0,22,35,4,152,"[9, 88, 109, 16, 22]","[21, 95, 28, 85, 126]"
8807795388,7402362417,True,1778566988,759,0,23,41,1,227,"[2, 55, 35, 9, 84]","[21, 26, 42, 123, 22]"
8807795381,7402365404,True,1778566988,1153,0,23,45,3,152,"[22, 59, 8, 62, 100]","[121, 11, 80, 129, 30]"
8807795322,7402365269,True,1778566958,1124,0,23,45,5,153,"[121, 36, 145, 5, 14]","[37, 64, 49, 126, 44]"
8807795285,7402366034,False,1778566978,1240,0,23,44,4,181,"[114, 93, 22, 36, 71]","[20, 54, 35, 8, 19]"
8807795180,7402366332,True,1778566963,1246,0,23,33,1,152,"[17, 14, 3, 42, 32]","[35, 40, 120, 44, 86]"
8807795154,7402366477,False,1778566963,1314,0,23,51,5,151,"[93, 14, 105, 26, 114]","[20, 8, 106, 84, 86]"
8807795144,7402364816,True,1778566963,1094,0,23,31,4,185,"[67, 21, 22, 86, 114]","[71, 136, 97, 123, 30]"
8807795141,7402365639,False,1778566963,1198,0,23,21,1,251,"[22, 109, 42, 40, 26]","[11, 101, 35, 97, 44]"
8807795131,7402365166,True,1778566963,1145,0,23,12,1,183,"[11, 101, 74, 44, 14]","[137, 19, 110, 25, 64]"
8807795088,7402364918,False,1778566958,1123,0,23,25,5,184,"[44, 6, 17, 121, 93]","[12, 26, 101, 1, 2]"
8807795076,7402364618,True,1778566948,1008,7,22,44,5,223,"[129, 28, 123, 54, 26]","[6, 14, 19, 42, 120]"
8807795070,7402364727,False,1778566948,1098,0,23,72,2,410,"[145, 82, 28, 74, 86]","[21, 11, 31, 5, 2]"
8807795023,7402364966,False,1778566948,1139,0,23,24,5,232,"[84, 40, 1, 104, 73]","[12, 55, 36, 71, 42]"
8807795020,7402365652,True,1778566933,1209,0,23,41,3,152,"[8, 35, 99, 22, 62]","[14, 81, 25, 48, 26]"
8807795018,7402365396,False,1778566948,1189,0,23,62,4,153,"[119, 22, 68, 123, 11]","[81, 35, 43, 45, 62]"
8807795013,7402364588,False,1778566943,1084,0,23,31,2,152,"[104, 14, 54, 12, 88]","[48, 63, 8, 86, 32]"
8807794984,7402359968,True,1778566943,386,7,22,72,8,227,"[108, 101, 93, 53, 14]","[39, 28, 5, 123, 80]"
8807794965,7402366574,True,1778566943,1330,0,23,35,6,153,"[14, 9, 50, 10, 13]","[97, 77, 27, 86, 56]"
8807794913,7402366072,True,1778566933,1224,7,22,43,7,413,"[95, 87, 86, 28, 76]","[126, 105, 47, 94, 93]"
8807794870,7402365771,True,1778566923,1227,0,23,12,1,184,"[1, 48, 32, 96, 77]","[113, 19, 15, 106, 126]"
8807794781,7402364510,False,1778566923,1104,0,23,43,6,122,"[57, 44, 2, 91, 104]","[20, 63, 75, 129, 113]"
8807794775,7402364931,True,1778566923,1110,7,22,44,5,227,"[84, 1, 86, 106, 128]","[36, 25, 37, 49, 6]"
8807794757,7402364417,True,1778566918,1087,0,23,24,2,227,"[25, 114, 45, 16, 95]","[46, 4, 26, 9, 41]"
8807794721,7402366351,True,1778566918,1338,0,23,24,2,271,"[101, 1, 28, 47, 35]","[36, 26, 9, 14, 104]"
8807794715,7402366184,True,1778566913,1316,0,23,61,6,227,"[36, 28, 81, 91, 75]","[14, 86, 120, 8, 104]"
8807794694,7402364301,False,1778566888,861,7,22,61,6,413,"[39, 22, 54, 2, 87]","[93, 108, 101, 119, 88]"
8807794678,7402364996,True,1778566913,1168,0,23,15,2,153,"[97, 86, 48, 71, 8]","[27, 6, 128, 7, 77]"
8807794631,7402364086,False,1778566903,985,7,22,22,1,153,"[9, 96, 52, 108, 103]","[29, 46, 1, 87, 31]"
8807794630,7402364732,True,1778566898,1148,0,23,42,4,118,"[21, 2, 109, 101, 84]","[18, 25, 108, 54, 75]"
8807794617,7402366577,True,1778566893,1405,0,23,41,1,183,"[26, 107, 83, 14, 35]","[32, 63, 40, 80, 47]"
8807794608,7402366509,True,1778566903,1372,0,23,52,3,117,"[14, 94, 108, 145, 36]","[25, 21, 120, 54, 35]"
